Assigned to cluster 47 | Clusters selected: 0 (4.56%) | RD Range of Selected: [1.05, 1.94] | Allelic Imbalance Range of Selected: [0.21, 0.40]
Assigned to cluster 4 | Clusters selected: 0 (2.07%), 1 (5.74%) | RD Range of Selected: [0.78, 0.99] | Allelic Imbalance Range of Selected: [0.01, 0.35]
Assigned to cluster 3 | Clusters selected: 0 (20.86%) | RD Range of Selected: [1.12, 2.60] | Allelic Imbalance Range of Selected: [0.00, 0.30]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.47, 1.64] | Allelic Imbalance Range of Selected: [0.17, 0.40]
Assigned to cluster 2 | Clusters selected: 0 (31.38%), 1 (0.78%) | RD Range of Selected: [1.05, 2.50] | Allelic Imbalance Range of Selected: [0.02, 0.40]
Assigned to cluster 0 | Clusters selected: 0 (8.09%) | RD Range of Selected: [0.51, 1.05] | Allelic Imbalance Range of Selected: [0.04, 0.32]
Assigned to cluster 19 | Clusters selected: 0 (0.67%), 1 (0.43%) | RD Range of Selected: [0.67, 1.91] | Allelic Imbalance Range of Selected: [0.06, 0.20]
Assigned to cluster 10 | Clusters selected: 0 (0.67%), 1 (74.46%) | RD Range of Selected: [0.80, 2.18] | Allelic Imbalance Range of Selected: [0.00, 0.22]
Assigned to cluster 8 | Clusters selected: 0 (0.66%), 1 (0.54%) | RD Range of Selected: [0.99, 2.02] | Allelic Imbalance Range of Selected: [0.08, 0.18]
Assigned to cluster 18 | Clusters selected: 0 (100%), 1 (98.93%) | RD Range of Selected: [0.59, 2.96] | Allelic Imbalance Range of Selected: [0.00, 0.46]
Assigned to cluster 10 | Clusters selected: 0 (1.59%), 1 (0.22%), 2 (20.95%) | RD Range of Selected: [0.80, 2.67] | Allelic Imbalance Range of Selected: [0.07, 0.29]
Assigned to cluster 18 | Clusters selected: 0 (5.82%) | RD Range of Selected: [1.34, 2.01] | Allelic Imbalance Range of Selected: [0.09, 0.18]
Assigned to cluster 2 | Clusters selected: 0 (17.24%), 1 (28.54%), 2 (0.13%) | RD Range of Selected: [1.11, 6.39] | Allelic Imbalance Range of Selected: [0.02, 0.28]
Assigned to cluster 19 | Clusters selected: 0 (0.63%), 1 (0.17%), 2 (14.31%) | RD Range of Selected: [0.67, 2.23] | Allelic Imbalance Range of Selected: [0.11, 0.47]
Assigned to cluster 2 | Clusters selected: 0 (5.04%), 1 (0.08%), 2 (2.97%), 3 (2.17%), 4 (3.11%), 5 (14.43%) | RD Range of Selected: [1.08, 2.99] | Allelic Imbalance Range of Selected: [0.02, 0.20]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.49, 1.49] | Allelic Imbalance Range of Selected: [0.27, 0.27]
Assigned to cluster 19 | Clusters selected: 0 (7.82%), 1 (99.28%), 2 (0.23%), 3 (97.58%) | RD Range of Selected: [0.69, 2.99] | Allelic Imbalance Range of Selected: [0.02, 0.42]
Assigned to cluster 1 | Clusters selected: 0 (4.15%) | RD Range of Selected: [0.68, 1.21] | Allelic Imbalance Range of Selected: [0.01, 0.20]
Assigned to cluster 18 | Clusters selected: 0 (100%), 1 (99.75%) | RD Range of Selected: [0.59, 2.42] | Allelic Imbalance Range of Selected: [0.00, 0.46]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.36, 1.45] | Allelic Imbalance Range of Selected: [0.00, 0.00]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.29, 1.86] | Allelic Imbalance Range of Selected: [0.00, 0.00]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [3.56, 3.67] | Allelic Imbalance Range of Selected: [0.22, 0.26]
