Assigned to cluster 18 | Clusters selected: 0 (68%) | RD Range of Selected: [0.51, 1.72] | Allelic Imbalance Range of Selected: [0.13, 0.25]
Assigned to cluster 25 | Clusters selected: 0 (28.57%) | RD Range of Selected: [0.82, 1.52] | Allelic Imbalance Range of Selected: [0.29, 0.38]
Assigned to cluster 1 | Clusters selected: 0 (0.93%) | RD Range of Selected: [0.91, 1.49] | Allelic Imbalance Range of Selected: [0.09, 0.18]
Assigned to cluster 7 | Clusters selected: 0 (11.14%) | RD Range of Selected: [1.55, 2.70] | Allelic Imbalance Range of Selected: [0.03, 0.22]
Assigned to cluster 10 | Clusters selected: 0 (8%) | RD Range of Selected: [1.66, 1.97] | Allelic Imbalance Range of Selected: [0.03, 0.14]
Assigned to cluster 6 | Clusters selected: 0 (1.13%) | RD Range of Selected: [0.72, 0.95] | Allelic Imbalance Range of Selected: [0.23, 0.43]
Assigned to cluster 25 | Clusters selected: 0 (11.71%) | RD Range of Selected: [0.37, 0.94] | Allelic Imbalance Range of Selected: [0.08, 0.49]
Assigned to cluster 4 | Clusters selected: 0 (0.9%) | RD Range of Selected: [0.54, 1.67] | Allelic Imbalance Range of Selected: [0.07, 0.23]
Assigned to cluster 16 | Clusters selected: 0 (28.57%), 1 (1.77%), 2 (100%) | RD Range of Selected: [0.76, 1.73] | Allelic Imbalance Range of Selected: [0.06, 0.47]
Assigned to cluster 4 | Clusters selected: 0 (15.52%) | RD Range of Selected: [1.22, 2.03] | Allelic Imbalance Range of Selected: [0.44, 0.49]
Assigned to cluster 2 | Clusters selected: 0 (26.58%) | RD Range of Selected: [0.91, 1.78] | Allelic Imbalance Range of Selected: [0.04, 0.18]
Assigned to cluster 25 | Clusters selected: 0 (1.25%), 1 (0.57%), 2 (0.96%), 3 (0.92%), 4 (2.32%) | RD Range of Selected: [0.51, 0.86] | Allelic Imbalance Range of Selected: [0.05, 0.49]
Assigned to cluster 25 | Clusters selected: 0 (4.76%), 1 (3.34%), 2 (3.25%), 3 (1.82%), 4 (7.12%) | RD Range of Selected: [0.48, 0.85] | Allelic Imbalance Range of Selected: [0.03, 0.50]
Assigned to cluster 7 | Clusters selected: 0 (50.91%) | RD Range of Selected: [1.41, 2.13] | Allelic Imbalance Range of Selected: [0.03, 0.27]
Assigned to cluster 10 | Clusters selected: 0 (100%), 1 (100%) | RD Range of Selected: [0.46, 3.07] | Allelic Imbalance Range of Selected: [0.00, 0.41]
Assigned to cluster 10 | Clusters selected: 0 (100%) | RD Range of Selected: [1.47, 1.65] | Allelic Imbalance Range of Selected: [0.07, 0.09]
Assigned to cluster 16 | Clusters selected: 0 (33.33%) | RD Range of Selected: [1.48, 1.48] | Allelic Imbalance Range of Selected: [0.29, 0.29]
Assigned to cluster 4 | Clusters selected: 0 (86.36%) | RD Range of Selected: [1.22, 2.02] | Allelic Imbalance Range of Selected: [0.41, 0.49]
Assigned to cluster 2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.17, 1.72] | Allelic Imbalance Range of Selected: [0.00, 0.17]
Assigned to cluster 0 | Clusters selected: 0 (2.45%) | RD Range of Selected: [0.60, 1.52] | Allelic Imbalance Range of Selected: [0.05, 0.42]
Assigned to cluster 27 | Clusters selected: 0 (8.56%) | RD Range of Selected: [0.46, 1.99] | Allelic Imbalance Range of Selected: [0.03, 0.20]
Assigned to cluster -2 | Clusters selected: 0 (1.79%), 1 (20.97%) | RD Range of Selected: [0.82, 2.03] | Allelic Imbalance Range of Selected: [0.04, 0.49]
Assigned to cluster 7 | Clusters selected: 0 (93.75%), 1 (100%) | RD Range of Selected: [0.54, 2.92] | Allelic Imbalance Range of Selected: [0.07, 0.29]
Assigned to cluster 17 | Clusters selected: 0 (100%), 1 (100%) | RD Range of Selected: [0.23, 1.20] | Allelic Imbalance Range of Selected: [0.05, 0.37]
Assigned to cluster -2 | Clusters selected: 0 (10.94%), 1 (100%) | RD Range of Selected: [0.71, 1.58] | Allelic Imbalance Range of Selected: [0.03, 0.10]
Assigned to cluster -2 | Clusters selected: 0 (92.16%), 1 (86.67%) | RD Range of Selected: [0.51, 1.93] | Allelic Imbalance Range of Selected: [0.10, 0.50]
Assigned to cluster -2 | Clusters selected: 0 (94.87%), 1 (100%) | RD Range of Selected: [0.54, 1.75] | Allelic Imbalance Range of Selected: [0.07, 0.50]
Assigned to cluster -2 | Clusters selected: 0 (77.78%), 1 (100%) | RD Range of Selected: [0.54, 1.75] | Allelic Imbalance Range of Selected: [0.05, 0.39]
Assigned to cluster -2 | Clusters selected: 0 (100%), 1 (100%), 2 (100%), 3 (100%), 4 (100%) | RD Range of Selected: [0.54, 1.75] | Allelic Imbalance Range of Selected: [0.06, 0.50]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [0.62, 0.63] | Allelic Imbalance Range of Selected: [0.50, 0.50]
Assigned to cluster -2 | Clusters selected: 0 (100%) | RD Range of Selected: [1.01, 1.08] | Allelic Imbalance Range of Selected: [0.29, 0.32]
Assigned to cluster 25 | Clusters selected: 0 (0.13%), 1 (2.14%), 2 (25%) | RD Range of Selected: [0.65, 0.94] | Allelic Imbalance Range of Selected: [0.21, 0.48]
Assigned to cluster 4 | Clusters selected: 0 (50%), 1 (5.55%), 2 (2.56%), 3 (5.17%), 4 (30%), 5 (0.13%), 6 (14.29%), 7 (20%), 8 (0.8%) | RD Range of Selected: [0.48, 1.80] | Allelic Imbalance Range of Selected: [0.03, 0.49]
Assigned to cluster 4 | Clusters selected: 0 (33.33%), 1 (5.18%), 2 (9.09%) | RD Range of Selected: [0.99, 1.74] | Allelic Imbalance Range of Selected: [0.35, 0.49]
Assigned to cluster 8 | Clusters selected: 0 (14.29%), 1 (4.88%), 2 (41.51%), 3 (8.33%), 4 (6.67%) | RD Range of Selected: [0.67, 1.77] | Allelic Imbalance Range of Selected: [0.21, 0.35]
Assigned to cluster 5 | Clusters selected: 0 (15.38%), 1 (1.85%), 2 (6.25%) | RD Range of Selected: [0.40, 0.80] | Allelic Imbalance Range of Selected: [0.16, 0.30]
Assigned to cluster 2 | Clusters selected: 0 (1.26%), 1 (0.18%) | RD Range of Selected: [0.57, 1.51] | Allelic Imbalance Range of Selected: [0.02, 0.15]
Assigned to cluster 2 | Clusters selected: 0 (0.85%), 1 (5.88%), 2 (0.09%), 3 (0.79%) | RD Range of Selected: [0.57, 1.51] | Allelic Imbalance Range of Selected: [0.02, 0.09]
Assigned to cluster 25 | Clusters selected: 0 (13.33%), 1 (0.77%) | RD Range of Selected: [0.55, 0.85] | Allelic Imbalance Range of Selected: [0.07, 0.48]
Assigned to cluster 25 | Clusters selected: 0 (2.17%), 1 (1.6%), 2 (1.82%), 3 (6.17%), 4 (23.08%) | RD Range of Selected: [0.55, 1.04] | Allelic Imbalance Range of Selected: [0.25, 0.49]
Assigned to cluster 2 | Clusters selected: 0 (4.58%), 1 (5.56%), 2 (4.55%) | RD Range of Selected: [0.95, 1.56] | Allelic Imbalance Range of Selected: [0.04, 0.12]
Assigned to cluster 2 | Clusters selected: 0 (10.62%), 1 (2.13%), 2 (10%), 3 (0.09%), 4 (12.5%), 5 (4.37%), 6 (1.49%) | RD Range of Selected: [0.72, 1.72] | Allelic Imbalance Range of Selected: [0.00, 0.25]
Assigned to cluster 25 | Clusters selected: 0 (0.11%), 1 (4.62%), 2 (18.75%) | RD Range of Selected: [0.60, 0.82] | Allelic Imbalance Range of Selected: [0.25, 0.49]
Assigned to cluster 16 | Clusters selected: 0 (12.74%), 1 (0.45%) | RD Range of Selected: [0.72, 1.75] | Allelic Imbalance Range of Selected: [0.11, 0.31]
Assigned to cluster 23 | Clusters selected: 0 (0.13%), 1 (1.88%), 2 (5.02%) | RD Range of Selected: [1.43, 1.99] | Allelic Imbalance Range of Selected: [0.03, 0.20]
Assigned to cluster 2 | Clusters selected: 0 (2.18%), 1 (0.13%), 2 (13.04%), 3 (0.05%), 4 (0.54%) | RD Range of Selected: [0.65, 1.32] | Allelic Imbalance Range of Selected: [0.01, 0.29]
Assigned to cluster 25 | Clusters selected: 0 (0.45%), 1 (33.33%), 2 (0.62%), 3 (4.17%), 4 (2.98%), 5 (15.79%) | RD Range of Selected: [0.60, 0.76] | Allelic Imbalance Range of Selected: [0.17, 0.49]
Assigned to cluster 16 | Clusters selected: 0 (12.5%), 1 (4.08%), 2 (3.51%), 3 (9.52%), 4 (0.26%), 5 (11.11%), 6 (0.9%), 7 (5%), 8 (0.74%) | RD Range of Selected: [0.69, 1.87] | Allelic Imbalance Range of Selected: [0.10, 0.36]
Assigned to cluster 23 | Clusters selected: 0 (3.57%), 1 (11.11%), 2 (2.13%), 3 (11.11%) | RD Range of Selected: [1.46, 1.99] | Allelic Imbalance Range of Selected: [0.03, 0.20]
Assigned to cluster 4 | Clusters selected: 0 (12.03%) | RD Range of Selected: [0.75, 1.85] | Allelic Imbalance Range of Selected: [0.37, 0.49]
Assigned to cluster 4 | Clusters selected: 0 (27.27%), 1 (17%), 2 (2%), 3 (3.39%), 4 (25%), 5 (25%), 6 (0.39%), 7 (0.48%), 8 (0.14%), 9 (4.76%), 10 (0.74%) | RD Range of Selected: [0.57, 1.85] | Allelic Imbalance Range of Selected: [0.07, 0.49]
Assigned to cluster 23 | Clusters selected: 0 (16.67%), 1 (33.33%), 2 (4.55%) | RD Range of Selected: [0.46, 0.75] | Allelic Imbalance Range of Selected: [0.06, 0.38]
